时间,CPU使用率,内存使用率,状态
2025-11-28 19:02:56,8.3%,12.1%,正常
2025-11-28 19:02:59,8.6%,12.1%,正常
2025-11-28 19:03:03,13.2%,12.0%,正常
2025-11-28 19:03:08,5.7%,12.1%,正常
2025-11-28 19:03:12,3.1%,12.1%,正常
2025-11-28 19:03:18,11.1%,12.1%,正常
2025-11-28 19:03:23,8.6%,12.0%,正常
2025-11-28 19:03:28,22.2%,12.1%,正常
2025-11-28 19:03:33,10.8%,12.1%,正常
2025-11-28 19:03:37,15.2%,12.1%,正常
2025-11-28 19:03:43,14.7%,12.1%,正常
2025-11-28 19:03:48,16.7%,12.2%,正常
2025-11-28 19:03:53,22.2%,12.1%,正常
2025-11-28 19:03:58,59.5%,13.8%,正常
2025-11-28 19:04:03,40.5%,12.2%,正常
2025-11-28 19:04:09,8.6%,12.0%,正常
2025-11-28 19:04:13,18.4%,12.1%,正常
2025-11-28 19:04:18,11.1%,12.2%,正常
2025-11-28 19:04:23,18.4%,12.1%,正常
2025-11-28 19:04:28,15.4%,12.2%,正常
2025-11-28 19:04:33,21.6%,12.2%,正常
2025-11-28 19:04:38,9.1%,12.2%,正常
2025-11-28 19:04:43,80.4%,14.1%,正常
2025-11-28 19:04:48,58.8%,12.2%,正常
2025-11-28 19:04:54,94.9%,12.3%,正常
2025-11-28 19:04:59,100.0%,12.8%,正常
2025-11-28 19:05:03,81.8%,13.0%,正常
2025-11-28 19:05:09,8.8%,12.9%,正常
2025-11-28 19:05:13,8.3%,12.9%,正常
2025-11-28 19:05:17,8.3%,12.9%,正常
2025-11-28 19:05:23,10.8%,12.9%,正常
2025-11-28 19:05:28,10.8%,12.9%,正常
2025-11-28 19:05:32,8.6%,12.9%,正常
2025-11-28 19:05:38,10.8%,12.9%,正常
2025-11-28 19:05:43,10.8%,12.9%,正常
2025-11-28 19:06:02,10.5%,12.8%,正常
2025-11-28 19:06:08,13.2%,12.9%,正常
2025-11-28 19:06:13,8.6%,12.9%,正常
2025-11-28 19:06:18,10.8%,12.9%,正常
2025-11-28 19:06:23,5.9%,12.9%,正常
2025-11-28 19:06:27,10.8%,12.9%,正常
2025-11-28 19:06:33,10.8%,12.9%,正常
2025-11-28 19:06:37,8.6%,12.9%,正常
2025-11-28 19:06:43,8.3%,12.9%,正常
2025-11-28 19:06:48,13.2%,12.9%,正常
2025-11-28 19:06:53,11.1%,12.9%,正常
2025-11-28 19:06:57,11.1%,12.9%,正常
2025-11-28 19:07:03,8.3%,12.9%,正常
